Description,Symbol,Footprint,Footprint_Filter,Manufacturer,Manufacturer_PN,Series,Category,Subcategory,Connector_Type,Pitch_mm,Rows,Gender,Mounting_Style,Orientation,Locking_Mechanism,Version,Exclude_from_BOM,Exclude_from_Board
"IDC Header, 6 pins, 2.54mm pitch, Horizontal",Connector_Generic:Conn_02x03_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x03_P2.54mm_Horizontal,*IDC*6*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,,1,0,0
"IDC Header, 6 pins, 2.54mm pitch, Vertical",Connector_Generic:Conn_02x03_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical,*IDC*6*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,,1,0,0
"IDC Header, 6 pins, 2.54mm pitch, Vertical",Connector_Generic:Conn_02x03_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical_SMD,*IDC*6*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,,1,0,0
"IDC Header, 8 pins, 2.54mm pitch, Horizontal",Connector_Generic:Conn_02x04_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x04_P2.54mm_Horizontal,*IDC*8*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,,1,0,0
"IDC Header, 8 pins, 2.54mm pitch, Vertical",Connector_Generic:Conn_02x04_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x04_P2.54mm_Vertical,*IDC*8*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,,1,0,0
"IDC Header, 8 pins, 2.54mm pitch, Vertical",Connector_Generic:Conn_02x04_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x04_P2.54mm_Vertical_SMD,*IDC*8*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,,1,0,0
"IDC Header, 10 pins, 2.54mm pitch, Vertical, with Long ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x05_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x05-1MP_P2.54mm_Latch12.0mm_Vertical,*IDC*10*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 10 pins, 2.54mm pitch, Vertical, with Short ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x05_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x05-1MP_P2.54mm_Latch6.5mm_Vertical,*IDC*10*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 10 pins, 2.54mm pitch, Vertical, with Long ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x05_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x05-1MP_P2.54mm_Latch9.5mm_Vertical,*IDC*10*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 10 pins, 2.54mm pitch, Horizontal, with Standard ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x05_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x05-1MP_P2.54mm_Latch_Horizontal,*IDC*10*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,Latch,1,0,0
"IDC Header, 10 pins, 2.54mm pitch, Vertical, with Standard ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x05_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x05-1MP_P2.54mm_Latch_Vertical,*IDC*10*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 10 pins, 2.54mm pitch, Horizontal",Connector_Generic:Conn_02x05_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x05_P2.54mm_Horizontal,*IDC*10*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,,1,0,0
"IDC Header, 10 pins, 2.54mm pitch, Vertical, with Long ejectors",Connector_Generic:Conn_02x05_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x05_P2.54mm_Latch12.0mm_Vertical,*IDC*10*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 10 pins, 2.54mm pitch, Vertical, with Short ejectors",Connector_Generic:Conn_02x05_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x05_P2.54mm_Latch6.5mm_Vertical,*IDC*10*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 10 pins, 2.54mm pitch, Vertical, with Long ejectors",Connector_Generic:Conn_02x05_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x05_P2.54mm_Latch9.5mm_Vertical,*IDC*10*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 10 pins, 2.54mm pitch, Horizontal, with Standard ejectors",Connector_Generic:Conn_02x05_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x05_P2.54mm_Latch_Horizontal,*IDC*10*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,Latch,1,0,0
"IDC Header, 10 pins, 2.54mm pitch, Vertical, with Standard ejectors",Connector_Generic:Conn_02x05_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x05_P2.54mm_Latch_Vertical,*IDC*10*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 10 pins, 2.54mm pitch, Vertical",Connector_Generic:Conn_02x05_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical,*IDC*10*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,,1,0,0
"IDC Header, 10 pins, 2.54mm pitch, Vertical",Connector_Generic:Conn_02x05_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical_SMD,*IDC*10*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,,1,0,0
"IDC Header, 12 pins, 2.54mm pitch, Vertical, with Long ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x06_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x06-1MP_P2.54mm_Latch12.0mm_Vertical,*IDC*12*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 12 pins, 2.54mm pitch, Vertical, with Short ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x06_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x06-1MP_P2.54mm_Latch6.5mm_Vertical,*IDC*12*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 12 pins, 2.54mm pitch, Vertical, with Long ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x06_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x06-1MP_P2.54mm_Latch9.5mm_Vertical,*IDC*12*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 12 pins, 2.54mm pitch, Horizontal, with Standard ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x06_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x06-1MP_P2.54mm_Latch_Horizontal,*IDC*12*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,Latch,1,0,0
"IDC Header, 12 pins, 2.54mm pitch, Vertical, with Standard ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x06_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x06-1MP_P2.54mm_Latch_Vertical,*IDC*12*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 12 pins, 2.54mm pitch, Horizontal",Connector_Generic:Conn_02x06_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x06_P2.54mm_Horizontal,*IDC*12*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,,1,0,0
"IDC Header, 12 pins, 2.54mm pitch, Vertical, with Long ejectors",Connector_Generic:Conn_02x06_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x06_P2.54mm_Latch12.0mm_Vertical,*IDC*12*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 12 pins, 2.54mm pitch, Vertical, with Short ejectors",Connector_Generic:Conn_02x06_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x06_P2.54mm_Latch6.5mm_Vertical,*IDC*12*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 12 pins, 2.54mm pitch, Vertical, with Long ejectors",Connector_Generic:Conn_02x06_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x06_P2.54mm_Latch9.5mm_Vertical,*IDC*12*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 12 pins, 2.54mm pitch, Horizontal, with Standard ejectors",Connector_Generic:Conn_02x06_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x06_P2.54mm_Latch_Horizontal,*IDC*12*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,Latch,1,0,0
"IDC Header, 12 pins, 2.54mm pitch, Vertical, with Standard ejectors",Connector_Generic:Conn_02x06_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x06_P2.54mm_Latch_Vertical,*IDC*12*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 12 pins, 2.54mm pitch, Vertical",Connector_Generic:Conn_02x06_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x06_P2.54mm_Vertical,*IDC*12*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,,1,0,0
"IDC Header, 12 pins, 2.54mm pitch, Vertical",Connector_Generic:Conn_02x06_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x06_P2.54mm_Vertical_SMD,*IDC*12*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,,1,0,0
"IDC Header, 14 pins, 2.54mm pitch, Vertical, with Long ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x07_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x07-1MP_P2.54mm_Latch12.0mm_Vertical,*IDC*14*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 14 pins, 2.54mm pitch, Vertical, with Short ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x07_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x07-1MP_P2.54mm_Latch6.5mm_Vertical,*IDC*14*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 14 pins, 2.54mm pitch, Vertical, with Long ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x07_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x07-1MP_P2.54mm_Latch9.5mm_Vertical,*IDC*14*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 14 pins, 2.54mm pitch, Horizontal, with Standard ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x07_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x07-1MP_P2.54mm_Latch_Horizontal,*IDC*14*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,Latch,1,0,0
"IDC Header, 14 pins, 2.54mm pitch, Vertical, with Standard ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x07_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x07-1MP_P2.54mm_Latch_Vertical,*IDC*14*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 14 pins, 2.54mm pitch, Horizontal",Connector_Generic:Conn_02x07_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x07_P2.54mm_Horizontal,*IDC*14*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,,1,0,0
"IDC Header, 14 pins, 2.54mm pitch, Horizontal",Connector_Generic:Conn_02x07_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x07_P2.54mm_Horizontal_Lock,*IDC*14*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,,1,0,0
"IDC Header, 14 pins, 2.54mm pitch, Vertical, with Long ejectors",Connector_Generic:Conn_02x07_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x07_P2.54mm_Latch12.0mm_Vertical,*IDC*14*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 14 pins, 2.54mm pitch, Vertical, with Short ejectors",Connector_Generic:Conn_02x07_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x07_P2.54mm_Latch6.5mm_Vertical,*IDC*14*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 14 pins, 2.54mm pitch, Vertical, with Long ejectors",Connector_Generic:Conn_02x07_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x07_P2.54mm_Latch9.5mm_Vertical,*IDC*14*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 14 pins, 2.54mm pitch, Horizontal, with Standard ejectors",Connector_Generic:Conn_02x07_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x07_P2.54mm_Latch_Horizontal,*IDC*14*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,Latch,1,0,0
"IDC Header, 14 pins, 2.54mm pitch, Vertical, with Standard ejectors",Connector_Generic:Conn_02x07_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x07_P2.54mm_Latch_Vertical,*IDC*14*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 14 pins, 2.54mm pitch, Vertical",Connector_Generic:Conn_02x07_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x07_P2.54mm_Vertical,*IDC*14*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,,1,0,0
"IDC Header, 14 pins, 2.54mm pitch, Vertical",Connector_Generic:Conn_02x07_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x07_P2.54mm_Vertical_SMD,*IDC*14*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,,1,0,0
"IDC Header, 16 pins, 2.54mm pitch, Vertical, with Long ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x08_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x08-1MP_P2.54mm_Latch12.0mm_Vertical,*IDC*16*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 16 pins, 2.54mm pitch, Vertical, with Short ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x08_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x08-1MP_P2.54mm_Latch6.5mm_Vertical,*IDC*16*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 16 pins, 2.54mm pitch, Vertical, with Long ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x08_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x08-1MP_P2.54mm_Latch9.5mm_Vertical,*IDC*16*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 16 pins, 2.54mm pitch, Horizontal, with Standard ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x08_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x08-1MP_P2.54mm_Latch_Horizontal,*IDC*16*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,Latch,1,0,0
"IDC Header, 16 pins, 2.54mm pitch, Vertical, with Standard ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x08_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x08-1MP_P2.54mm_Latch_Vertical,*IDC*16*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 16 pins, 2.54mm pitch, Horizontal",Connector_Generic:Conn_02x08_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x08_P2.54mm_Horizontal,*IDC*16*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,,1,0,0
"IDC Header, 16 pins, 2.54mm pitch, Vertical, with Long ejectors",Connector_Generic:Conn_02x08_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x08_P2.54mm_Latch12.0mm_Vertical,*IDC*16*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 16 pins, 2.54mm pitch, Vertical, with Short ejectors",Connector_Generic:Conn_02x08_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x08_P2.54mm_Latch6.5mm_Vertical,*IDC*16*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 16 pins, 2.54mm pitch, Vertical, with Long ejectors",Connector_Generic:Conn_02x08_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x08_P2.54mm_Latch9.5mm_Vertical,*IDC*16*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 16 pins, 2.54mm pitch, Horizontal, with Standard ejectors",Connector_Generic:Conn_02x08_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x08_P2.54mm_Latch_Horizontal,*IDC*16*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,Latch,1,0,0
"IDC Header, 16 pins, 2.54mm pitch, Vertical, with Standard ejectors",Connector_Generic:Conn_02x08_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x08_P2.54mm_Latch_Vertical,*IDC*16*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 16 pins, 2.54mm pitch, Vertical",Connector_Generic:Conn_02x08_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical,*IDC*16*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,,1,0,0
"IDC Header, 16 pins, 2.54mm pitch, Vertical",Connector_Generic:Conn_02x08_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x08_P2.54mm_Vertical_SMD,*IDC*16*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,,1,0,0
"IDC Header, 18 pins, 2.54mm pitch, Horizontal",Connector_Generic:Conn_02x09_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x09_P2.54mm_Horizontal,*IDC*18*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,,1,0,0
"IDC Header, 18 pins, 2.54mm pitch, Vertical",Connector_Generic:Conn_02x09_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x09_P2.54mm_Vertical,*IDC*18*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,,1,0,0
"IDC Header, 18 pins, 2.54mm pitch, Vertical",Connector_Generic:Conn_02x09_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x09_P2.54mm_Vertical_SMD,*IDC*18*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,,1,0,0
"IDC Header, 20 pins, 2.54mm pitch, Vertical, with Long ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x10_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x10-1MP_P2.54mm_Latch12.0mm_Vertical,*IDC*20*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 20 pins, 2.54mm pitch, Vertical, with Short ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x10_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x10-1MP_P2.54mm_Latch6.5mm_Vertical,*IDC*20*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 20 pins, 2.54mm pitch, Vertical, with Long ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x10_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x10-1MP_P2.54mm_Latch9.5mm_Vertical,*IDC*20*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 20 pins, 2.54mm pitch, Horizontal, with Standard ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x10_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x10-1MP_P2.54mm_Latch_Horizontal,*IDC*20*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,Latch,1,0,0
"IDC Header, 20 pins, 2.54mm pitch, Vertical, with Standard ejectors, with mounting pins",Connector_Generic_MountingPin:Conn_02x10_Odd_Even_MountingPin,MyLib_Connector_IDC:IDC-Header_2x10-1MP_P2.54mm_Latch_Vertical,*IDC*20*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 20 pins, 2.54mm pitch, Horizontal",Connector_Generic:Conn_02x10_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x10_P2.54mm_Horizontal,*IDC*20*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,,1,0,0
"IDC Header, 20 pins, 2.54mm pitch, Vertical, with Long ejectors",Connector_Generic:Conn_02x10_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x10_P2.54mm_Latch12.0mm_Vertical,*IDC*20*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 20 pins, 2.54mm pitch, Vertical, with Short ejectors",Connector_Generic:Conn_02x10_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x10_P2.54mm_Latch6.5mm_Vertical,*IDC*20*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 20 pins, 2.54mm pitch, Vertical, with Long ejectors",Connector_Generic:Conn_02x10_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x10_P2.54mm_Latch9.5mm_Vertical,*IDC*20*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 20 pins, 2.54mm pitch, Horizontal, with Standard ejectors",Connector_Generic:Conn_02x10_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x10_P2.54mm_Latch_Horizontal,*IDC*20*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,Latch,1,0,0
"IDC Header, 20 pins, 2.54mm pitch, Vertical, with Standard ejectors",Connector_Generic:Conn_02x10_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x10_P2.54mm_Latch_Vertical,*IDC*20*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,Latch,1,0,0
"IDC Header, 20 pins, 2.54mm pitch, Vertical",Connector_Generic:Conn_02x10_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x10_P2.54mm_Vertical,*IDC*20*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,,1,0,0
"IDC Header, 20 pins, 2.54mm pitch, Vertical",Connector_Generic:Conn_02x10_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x10_P2.54mm_Vertical_SMD,*IDC*20*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,,1,0,0
"IDC Header, 22 pins, 2.54mm pitch, Horizontal",Connector_Generic:Conn_02x11_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x11_P2.54mm_Horizontal,*IDC*22*P2.54mm*Horizontal*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Horizontal,,1,0,0
"IDC Header, 22 pins, 2.54mm pitch, Vertical",Connector_Generic:Conn_02x11_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x11_P2.54mm_Vertical,*IDC*22*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,,1,0,0
"IDC Header, 22 pins, 2.54mm pitch, Vertical",Connector_Generic:Conn_02x11_Odd_Even,MyLib_Connector_IDC:IDC-Header_2x11_P2.54mm_Vertical_SMD,*IDC*22*P2.54mm*Vertical*,,,IDC,IDC Connector,Header,IDC Header,2.54,2,Male,Through Hole,Vertical,,1,0,0
