Symbol,Value,Footprint,Description,Tags,Footprint_Filter,Datasheet
Interface_USB:CYPD3174-24LQXQ,CYPD3174-24LQXQ,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm,"USB Type-C port controller, Cortex®-M0 processor, DFP CC with opto coupler feedback bootloader, QFN-24",USBPD Quickcharge,QFN*1EP*4x4mm*P0.5mm*EP2.75x2.75mm*,https://www.infineon.com/dgdl/Infineon-EZ-PD(TM)_CCG3PA_Datasheet_USB_Type-C_Port_Controller-DataSheet-v09_00-EN.pdf?fileId=8ac78c8c7d0d8da4017d0ee438366ac0
Interface_USB:CYPD3175-24LQXQ,CYPD3175-24LQXQ,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm,"USB Type-C port controller, Cortex®-M0 processor, DFP CC with direct feedback bootloader, QFN-24",USBPD Quickcharge,QFN*1EP*4x4mm*P0.5mm*EP2.75x2.75mm*,https://www.infineon.com/dgdl/Infineon-EZ-PD(TM)_CCG3PA_Datasheet_USB_Type-C_Port_Controller-DataSheet-v09_00-EN.pdf?fileId=8ac78c8c7d0d8da4017d0ee438366ac0
Interface_USB:CYPD3177-24LQ,CYPD3177-24LQ,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm,"Stand-alone USB PD controller (with sink Auto-run mode), QFN-24",usb pd type csink,QFN*1EP?4x4mm*P0.5mm*,https://www.infineon.com/dgdl/Infineon-EZ-PD_BCR_Datasheet_USB_Type-C_Port_Controller_for_Power_Sinks-DataSheet-v03_00-EN.pdf?fileId=8ac78c8c7d0d8da4017d0ee7ce9d70ad
Interface_USB:FE1.1s,FE1.1s,Package_SO:SSOP-28_3.9x9.9mm_P0.635mm,"USB 2.0 High Speed 4-Port Hub Controller, SSOP-28","4-Port, EEPROM, High Speed, Hub, USB2.0",SSOP*3.9x9.9mm*P0.635mm*,https://cdn-shop.adafruit.com/product-files/2991/FE1.1s+Data+Sheet+(Rev.+1.0).pdf
Interface_USB:FSUSB30MUX,FSUSB30MUX,Package_SO:MSOP-10_3x3mm_P0.5mm,"Low-Power, Two-Port, High-Speed, USB2.0 (480Mbps) Switch, MSOP-10",USB 2.0 High Speed Switch,MSOP*3x3mm*P0.5mm*,https://www.onsemi.com/pdf/datasheet/fsusb30-d.pdf
Interface_USB:FSUSB42MUX,FSUSB42MUX,Package_SO:MSOP-10_3x3mm_P0.5mm,"Low-Power, Two-Port, High-Speed, USB2.0 (480Mbps) or UART Switch, MSOP-10",USB 2.0 UART High Speed Switch,MSOP*3x3mm*P0.5mm*,https://www.onsemi.com/pub/Collateral/FSUSB42-D.PDF
Interface_USB:FT200XD,FT200XD,Package_DFN_QFN:DFN-10-1EP_3x3mm_P0.5mm_EP1.55x2.48mm,"Full Speed USB to I2C Bridge, DFN-10",FTDI USB I2C Interface Converter,DFN*3x3mm*P0.5mm*,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT200XD.pdf
Interface_USB:FT201XQ,FT201XQ,Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm,"Full Speed USB to I2C Bridge, QFN-10",FTDI USB I2C interface Converter,QFN*1EP*4x4mm*P0.65mm*,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT201X.pdf
Interface_USB:FT201XS,FT201XS,Package_SO:SSOP-16_3.9x4.9mm_P0.635mm,"Full Speed USB to I2C Bridge, SSOP-16",FTDI USB I2C Interface Converter,SSOP*3.9x4.9mm*P0.635mm*,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT201X.pdf
Interface_USB:FT220XQ,FT220XQ,Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm,"Full Speed USB to 4-Bit SPI / FT1248 Bridge, QFN-16",FTDI USB SPI FT1248 Interface Converter,QFN*1EP*4x4mm*P0.65mm*,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT220X.pdf
