"Symbol","Value","Footprint","Description","Tags","Footprint_Filter","Datasheet"
"MCU_Microchip_PIC16:PIC16F19196-xPT","PIC16F19196-xPT","Package_QFP:TQFP-64_10x10mm_P0.5mm","16kW FLASH, 2kB RAM, 256B EEPROM, TQFP-64","FLASH-Based 8-Bit CMOS Microcontroller","TQFP*10x10mm*P0.5mm*","http://ww1.microchip.com/downloads/en/DeviceDoc/PIC16LF19195-6-7-Data-Sheet-40001873D.pdf"
"MCU_Microchip_PIC16:PIC16F19197-x5LX","PIC16F19197-x5LX","Package_DFN_QFN:VQFN-64-1EP_9x9mm_P0.5mm_EP5.4x5.4mm","32kW FLASH, 4kB RAM, 256B EEPROM, VQFN-64","FLASH-Based 8-Bit CMOS Microcontroller","VQFN*9x9mm*P0.5mm*","http://ww1.microchip.com/downloads/en/DeviceDoc/PIC16LF19195-6-7-Data-Sheet-40001873D.pdf"
"MCU_Microchip_PIC16:PIC16F19197-xMR","PIC16F19197-xMR","Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP5.4x5.4mm","32kW FLASH, 4kB RAM, 256B EEPROM, QFN-64","FLASH-Based 8-Bit CMOS Microcontroller","QFN*9x9mm*P0.5mm*","http://ww1.microchip.com/downloads/en/DeviceDoc/PIC16LF19195-6-7-Data-Sheet-40001873D.pdf"
"MCU_Microchip_PIC16:PIC16F19197-xPT","PIC16F19197-xPT","Package_QFP:TQFP-64_10x10mm_P0.5mm","32kW FLASH, 4kB RAM, 256B EEPROM, TQFP-64","FLASH-Based 8-Bit CMOS Microcontroller","TQFP*10x10mm*P0.5mm*","http://ww1.microchip.com/downloads/en/DeviceDoc/PIC16LF19195-6-7-Data-Sheet-40001873D.pdf"
"MCU_Microchip_PIC16:PIC16F1934-IML","PIC16F1934-IML","","PIC16F193XLF193X - Flash-Based, 8-Bit CMOS Microcontrollers, QFN-44","","MLF*","http://ww1.microchip.com/downloads/en/DeviceDoc/41364E.pdf"
"MCU_Microchip_PIC16:PIC16F1934-IPT","PIC16F1934-IPT","","PIC16F193XLF193X - Flash-Based, 8-Bit CMOS Microcontrollers, TQFP-44","","TQFP*","http://ww1.microchip.com/downloads/en/DeviceDoc/41364E.pdf"
"MCU_Microchip_PIC16:PIC16F1937-IML","PIC16F1937-IML","","PIC16F193XLF193X - Flash-Based, 8-Bit CMOS Microcontrollers, QFN-44","","MLF*","http://ww1.microchip.com/downloads/en/DeviceDoc/41364E.pdf"
"MCU_Microchip_PIC16:PIC16F1937-IPT","PIC16F1937-IPT","","PIC16F193XLF193X - Flash-Based, 8-Bit CMOS Microcontrollers, TQFP-44","","TQFP*","http://ww1.microchip.com/downloads/en/DeviceDoc/41364E.pdf"
"MCU_Microchip_PIC16:PIC16F1939-IML","PIC16F1939-IML","","PIC16F193XLF193X - Flash-Based, 8-Bit CMOS Microcontrollers, QFN-44","","MLF*","http://ww1.microchip.com/downloads/en/DeviceDoc/41364E.pdf"
"MCU_Microchip_PIC16:PIC16F1939-IPT","PIC16F1939-IPT","","PIC16F193XLF193X - Flash-Based, 8-Bit CMOS Microcontrollers, TQFP-44","","TQFP*","http://ww1.microchip.com/downloads/en/DeviceDoc/41364E.pdf"
"MCU_Microchip_PIC16:PIC16F505-IMG","PIC16F505-IMG","","PIC16F505, 1024W FLASH, 72B SRAM, QFN16","FLASH-Based 8bit Microcontroller","QFN*","http://ww1.microchip.com/downloads/en/DeviceDoc/41236E.pdf"
"MCU_Microchip_PIC16:PIC16F505-IP","PIC16F505-IP","","1024W FLASH, 72B SRAM, DIP14","FLASH-Based 8bit Microcontroller","PDIP* DIP*","http://ww1.microchip.com/downloads/en/DeviceDoc/41236E.pdf"
"MCU_Microchip_PIC16:PIC16F505-ISL","PIC16F505-ISL","","PIC16F505, 1024W FLASH, 72B SRAM, SO14","FLASH-Based 8bit Microcontroller","SO* SOIC*","http://ww1.microchip.com/downloads/en/DeviceDoc/41236E.pdf"
"MCU_Microchip_PIC16:PIC16F505-IST","PIC16F505-IST","","PIC16F505, 1024W FLASH, 72B SRAM, TSSOP14","FLASH-Based 8bit Microcontroller","TSSOP*","http://ww1.microchip.com/downloads/en/DeviceDoc/41236E.pdf"
"MCU_Microchip_PIC16:PIC16F54-IP","PIC16F54-IP","","512W FLASH, 25B SRAM, DIP18","FLASH-Based 8-Bit CMOS Microcontroller","DIP* PDIP*","http://ww1.microchip.com/downloads/en/DeviceDoc/41213D.pdf"
"MCU_Microchip_PIC16:PIC16F54-ISO","PIC16F54-ISO","","PIC16F54, 512W FLASH, 25B SRAM, SO18","FLASH-Based 8-Bit CMOS Microcontroller","SO* SOIC*","http://ww1.microchip.com/downloads/en/DeviceDoc/41213D.pdf"
"MCU_Microchip_PIC16:PIC16F54-ISS","PIC16F54-ISS","","PIC16F54, 512W FLASH, 25B SRAM, SSOP20","FLASH-Based 8-Bit CMOS Microcontroller","SSOP*","http://ww1.microchip.com/downloads/en/DeviceDoc/41213D.pdf"
"MCU_Microchip_PIC16:PIC16F610-IML","PIC16F610-IML","","PIC16F610, 1024W FLASH, 64B SRAM, QFN-16","FLASH-Based 8-Bit CMOS Microcontroller Low Power","QFN*","http://ww1.microchip.com/downloads/en/DeviceDoc/41288F.pdf"
"MCU_Microchip_PIC16:PIC16F610-IP","PIC16F610-IP","","1024W FLASH, 64B SRAM, PDIP-14","FLASH-Based 8-Bit CMOS Microcontroller Low Power","DIP* PDIP* SO*","http://ww1.microchip.com/downloads/en/DeviceDoc/41288F.pdf"
"MCU_Microchip_PIC16:PIC16F616-IML","PIC16F616-IML","","PIC16F616, 2048W FLASH, 128B SRAM, QFN-16","FLASH-Based 8-Bit CMOS Microcontroller Low Power","QFN*","http://ww1.microchip.com/downloads/en/DeviceDoc/41288F.pdf"
"MCU_Microchip_PIC16:PIC16F616-IP","PIC16F616-IP","","2048W FLASH, 128B SRAM, PDIP-14","FLASH-Based 8-Bit CMOS Microcontroller Low Power","DIP* PDIP* SO*","http://ww1.microchip.com/downloads/en/DeviceDoc/41288F.pdf"
"MCU_Microchip_PIC16:PIC16F627-xxIP","PIC16F627-xxIP","","1024W Flash, 224B SRAM, 128B EEPROM, DIP18","FLASH-Based 8-Bit CMOS Microcontroller","DIP* PDIP*","http://ww1.microchip.com/downloads/en/DeviceDoc/40300c.pdf"
"MCU_Microchip_PIC16:PIC16F627-xxISO","PIC16F627-xxISO","","1024W Flash, 224B SRAM, 128B EEPROM, SO18","FLASH-Based 8-Bit CMOS Microcontroller","SO*","http://ww1.microchip.com/downloads/en/DeviceDoc/40300c.pdf"
"MCU_Microchip_PIC16:PIC16F627-xxISS","PIC16F627-xxISS","","1024W Flash, 224B SRAM, 128B EEPROM, SSOP20","FLASH-Based 8-Bit CMOS Microcontroller","SSOP*","http://ww1.microchip.com/downloads/en/DeviceDoc/40300c.pdf"
"MCU_Microchip_PIC16:PIC16F627A-IP","PIC16F627A-IP","","1024W Flash, 224B SRAM, 128B EEPROM, DIP18","FLASH-Based 8-Bit CMOS Microcontroller","DIP* PDIP*","http://ww1.microchip.com/downloads/en/DeviceDoc/40300c.pdf"
"MCU_Microchip_PIC16:PIC16F627A-ISO","PIC16F627A-ISO","","PIC16F627A, 1024W Flash, 224B SRAM, 128B EEPROM, SO18","FLASH-Based 8-Bit CMOS Microcontroller","SO*","http://ww1.microchip.com/downloads/en/DeviceDoc/40300c.pdf"
"MCU_Microchip_PIC16:PIC16F627A-ISS","PIC16F627A-ISS","","PIC16F627A, 1024W Flash, 224B SRAM, 128B EEPROM, SSOP20","FLASH-Based 8-Bit CMOS Microcontroller","SSOP*","http://ww1.microchip.com/downloads/en/DeviceDoc/40044G.pdf"
"MCU_Microchip_PIC16:PIC16F628-xxIP","PIC16F628-xxIP","","2048W Flash, 224B SRAM, 128B EEPROM, DIP18","FLASH-Based 8-Bit CMOS Microcontroller","DIP* PDIP*","http://ww1.microchip.com/downloads/en/DeviceDoc/40300c.pdf"
"MCU_Microchip_PIC16:PIC16F628-xxISO","PIC16F628-xxISO","","2048W Flash, 224B SRAM, 128B EEPROM, SO18","FLASH-Based 8-Bit CMOS Microcontroller","SO*","http://ww1.microchip.com/downloads/en/DeviceDoc/40300c.pdf"
"MCU_Microchip_PIC16:PIC16F628-xxISS","PIC16F628-xxISS","","2048W Flash, 224B SRAM, 128B EEPROM, SSOP20","FLASH-Based 8-Bit CMOS Microcontroller","SSOP*","http://ww1.microchip.com/downloads/en/DeviceDoc/40300c.pdf"
"MCU_Microchip_PIC16:PIC16F628A-IP","PIC16F628A-IP","","2048W Flash, 224B SRAM, 128B EEPROM, DIP18","FLASH-Based 8-Bit CMOS Microcontroller","DIP* PDIP*","http://ww1.microchip.com/downloads/en/DeviceDoc/40300c.pdf"
"MCU_Microchip_PIC16:PIC16F628A-ISO","PIC16F628A-ISO","","PIC16F628A, 2048W Flash, 224B SRAM, 128B EEPROM, SO18","FLASH-Based 8-Bit CMOS Microcontroller","SO*","http://ww1.microchip.com/downloads/en/DeviceDoc/40300c.pdf"
"MCU_Microchip_PIC16:PIC16F628A-ISS","PIC16F628A-ISS","","PIC16F628A, 2048W Flash, 224B SRAM, 128B EEPROM, SSOP20","FLASH-Based 8-Bit CMOS Microcontroller","SSOP*","http://ww1.microchip.com/downloads/en/DeviceDoc/40044G.pdf"
"MCU_Microchip_PIC16:PIC16F631-IP","PIC16F631-IP","","1024W Flash, 64B SRAM, 128B EEPROM, DIP20","Flash-Based 8-Bit CMOS Microcontroller nanoWatt","DIP* PDIP*","http://ww1.microchip.com/downloads/en/DeviceDoc/41262E.pdf"
"MCU_Microchip_PIC16:PIC16F631-ISO","PIC16F631-ISO","","PIC16F631, 1024W Flash, 64B SRAM, 128B EEPROM, SO20","Flash-Based 8-Bit CMOS Microcontroller nanoWatt","SO*","http://ww1.microchip.com/downloads/en/DeviceDoc/41262E.pdf"
"MCU_Microchip_PIC16:PIC16F631-ISS","PIC16F631-ISS","","PIC16F631, 1024W Flash, 64B SRAM, 128B EEPROM, SSOP20","Flash-Based 8-Bit CMOS Microcontroller nanoWatt","SSOP*","http://ww1.microchip.com/downloads/en/DeviceDoc/41262E.pdf"
"MCU_Microchip_PIC16:PIC16F648A-IP","PIC16F648A-IP","","4096W Flash, 256B SRAM, 256B EEPROM, DIP18","FLASH-Based 8-Bit CMOS Microcontroller","DIP* PDIP*","http://ww1.microchip.com/downloads/en/DeviceDoc/40300c.pdf"
"MCU_Microchip_PIC16:PIC16F648A-ISO","PIC16F648A-ISO","","PIC16F648A, 4096W Flash, 256B SRAM, 256B EEPROM, SO18","FLASH-Based 8-Bit CMOS Microcontroller","SO*","http://ww1.microchip.com/downloads/en/DeviceDoc/40300c.pdf"
"MCU_Microchip_PIC16:PIC16F648A-ISS","PIC16F648A-ISS","","PIC16F648A, 4096W Flash, 256B SRAM, 256B EEPROM, SSOP20","FLASH-Based 8-Bit CMOS Microcontroller","SSOP*","http://ww1.microchip.com/downloads/en/DeviceDoc/40044G.pdf"
"MCU_Microchip_PIC16:PIC16F677-IP","PIC16F677-IP","","2048W Flash, 128B SRAM, 128B EEPROM, DIP20","Flash-Based 8-Bit CMOS Microcontroller nanoWatt","DIP* PDIP*","http://ww1.microchip.com/downloads/en/DeviceDoc/41262E.pdf"
"MCU_Microchip_PIC16:PIC16F677-ISO","PIC16F677-ISO","","PIC16F677, 2048W Flash, 128B SRAM, 128B EEPROM, SO20","Flash-Based 8-Bit CMOS Microcontroller nanoWatt","SO*","http://ww1.microchip.com/downloads/en/DeviceDoc/41262E.pdf"
"MCU_Microchip_PIC16:PIC16F677-ISS","PIC16F677-ISS","","PIC16F677, 2048W Flash, 128B SRAM, 128B EEPROM, SSOP20","Flash-Based 8-Bit CMOS Microcontroller nanoWatt","SSOP*","http://ww1.microchip.com/downloads/en/DeviceDoc/41262E.pdf"
"MCU_Microchip_PIC16:PIC16F684-IML","PIC16F684-IML","","PIC16F684 , 2048W FLASH, 128B SRAM, 256B EEPROM, QFN-16","FLASH-Based 8-Bit CMOS Microcontroller Low Power","QFN*","http://ww1.microchip.com/downloads/en/DeviceDoc/41202F-print.pdf"
"MCU_Microchip_PIC16:PIC16F684-IP","PIC16F684-IP","","2048W FLASH, 128B SRAM, 256B EEPROM, PDIP-14","FLASH-Based 8-Bit CMOS Microcontroller Low Power","DIP* PDIP* SO*","http://ww1.microchip.com/downloads/en/DeviceDoc/41202F-print.pdf"
"MCU_Microchip_PIC16:PIC16F685-IP","PIC16F685-IP","","4096W Flash, 256B SRAM, 256B EEPROM, DIP20","Flash-Based 8-Bit CMOS Microcontroller nanoWatt","DIP* PDIP*","http://ww1.microchip.com/downloads/en/DeviceDoc/41262E.pdf"
"MCU_Microchip_PIC16:PIC16F685-ISO","PIC16F685-ISO","","PIC16F685, 4096W Flash, 256B SRAM, 256B EEPROM, SO20","Flash-Based 8-Bit CMOS Microcontroller nanoWatt","SO*","http://ww1.microchip.com/downloads/en/DeviceDoc/41262E.pdf"
"MCU_Microchip_PIC16:PIC16F685-ISS","PIC16F685-ISS","","PIC16F685, 4096W Flash, 256B SRAM, 256B EEPROM, SSOP20","Flash-Based 8-Bit CMOS Microcontroller nanoWatt","SO*","http://ww1.microchip.com/downloads/en/DeviceDoc/41262E.pdf"
"MCU_Microchip_PIC16:PIC16F687-IP","PIC16F687-IP","","2048W Flash, 128B SRAM, 256B EEPROM, DIP20","Flash-Based 8-Bit CMOS Microcontroller nanoWatt","DIP* PDIP*","http://ww1.microchip.com/downloads/en/DeviceDoc/41262E.pdf"
"MCU_Microchip_PIC16:PIC16F687-ISO","PIC16F687-ISO","","PIC16F687, 2048W Flash, 128B SRAM, 256B EEPROM, SO20","Flash-Based 8-Bit CMOS Microcontroller nanoWatt","SO*","http://ww1.microchip.com/downloads/en/DeviceDoc/41262E.pdf"
"MCU_Microchip_PIC16:PIC16F687-ISS","PIC16F687-ISS","","PIC16F687, 2048W Flash, 128B SRAM, 256B EEPROM, SSOP20","Flash-Based 8-Bit CMOS Microcontroller nanoWatt","SSOP*","http://ww1.microchip.com/downloads/en/DeviceDoc/41262E.pdf"
"MCU_Microchip_PIC16:PIC16F689-IP","PIC16F689-IP","","4096W Flash, 256B SRAM, 256B EEPROM, DIP20","Flash-Based 8-Bit CMOS Microcontroller nanoWatt","DIP* PDIP*","http://ww1.microchip.com/downloads/en/DeviceDoc/41262E.pdf"
"MCU_Microchip_PIC16:PIC16F689-ISO","PIC16F689-ISO","","PIC16F689, 4096W Flash, 256B SRAM, 256B EEPROM, SO20","Flash-Based 8-Bit CMOS Microcontroller nanoWatt","SO*","http://ww1.microchip.com/downloads/en/DeviceDoc/41262E.pdf"
"MCU_Microchip_PIC16:PIC16F689-ISS","PIC16F689-ISS","","PIC16F689, 4096W Flash, 256B SRAM, 256B EEPROM, SSOP20","Flash-Based 8-Bit CMOS Microcontroller nanoWatt","SSOP*","http://ww1.microchip.com/downloads/en/DeviceDoc/41262E.pdf"
"MCU_Microchip_PIC16:PIC16F690-IP","PIC16F690-IP","","4096W Flash, 256B SRAM, 256B EEPROM, DIP20","Flash-Based 8-Bit CMOS Microcontroller nanoWatt","DIP* PDIP*","http://ww1.microchip.com/downloads/en/DeviceDoc/41262E.pdf"
"MCU_Microchip_PIC16:PIC16F690-ISO","PIC16F690-ISO","","PIC16F690, 4096W Flash, 256B SRAM, 256B EEPROM, SO20","Flash-Based 8-Bit CMOS Microcontroller nanoWatt","SO*","http://ww1.microchip.com/downloads/en/DeviceDoc/41262E.pdf"
"MCU_Microchip_PIC16:PIC16F690-ISS","PIC16F690-ISS","","PIC16F690, 4096W Flash, 256B SRAM, 256B EEPROM, SSOP20","Flash-Based 8-Bit CMOS Microcontroller nanoWatt","SSOP*","http://ww1.microchip.com/downloads/en/DeviceDoc/41262E.pdf"
"MCU_Microchip_PIC16:PIC16F716-IP","PIC16F716-IP","","2048W Flash, 128B SRAM, DIP18","FLASH-Based 8-Bit CMOS Microcontroller","DIP* PDIP*","http://ww1.microchip.com/downloads/en/DeviceDoc/41206B.pdf"
"MCU_Microchip_PIC16:PIC16F716-ISO","PIC16F716-ISO","","PIC16F716, 2048W Flash, 128B SRAM, SO18","FLASH-Based 8-Bit CMOS Microcontroller","SO*","http://ww1.microchip.com/downloads/en/DeviceDoc/41206B.pdf"
