"Symbol","Value","Footprint","Description","Tags","Footprint_Filter","Datasheet"
"Switch:SW_Rotary_1x5_MP","SW_Rotary_1x5_MP","","Rotary switch 1x5, SP5T with mount point","Rotary switch 1x5 SP5T","","~"
"Switch:SW_Rotary_1x6_MP","SW_Rotary_1x6_MP","","Rotary switch 1x6, SP6T with mount point","Rotary switch 1x6 SP6T","","~"
"Switch:SW_Rotary_1x7_MP","SW_Rotary_1x7_MP","","Rotary switch 1x7, SP7T with mount point","Rotary switch 1x7 SP7T","","~"
"Switch:SW_Rotary_1x8_MP","SW_Rotary_1x8_MP","","Rotary switch 1x8, SP8T with mount point","Rotary switch 1x8 SP8T","","~"
"Switch:SW_Rotary_1x9_MP","SW_Rotary_1x9_MP","","Rotary switch 1x8, SP8T with mount point","Rotary switch 1x8 SP8T","","~"
"Switch:SW_Rotary_2x6","SW_Rotary_2x6","","2 rotary switch with 6 positions","rotary switch 2x6","","http://cdn-reichelt.de/documents/datenblatt/C200/DS-Serie%23LOR.pdf"
"Switch:SW_Rotary_3x4","SW_Rotary_3x4","","3 rotary switches with 4 positions","rotary switch 3x4","","http://cdn-reichelt.de/documents/datenblatt/C200/DS-Serie%23LOR.pdf"
"Switch:SW_Rotary_4x3","SW_Rotary_4x3","","4 rotary switches with 3 positions","rotary switch 4x3","","http://cdn-reichelt.de/documents/datenblatt/C200/DS-Serie%23LOR.pdf"
"Switch:SW_SP3T","SW_SP3T","","Switch, three position, single pole triple throw, 3 position switch, SP3T","switch sp3t ON-ON-ON","SW* SP3T*","~"
"Switch:SW_SP3T_NR01103","SW_SP3T_NR01103","MyLib_Button_Switch_THT:SW_NKK_NR01","NKK Switches NR01 Series rotary SP3T switch","NR01 SP3T Switch","SW?NKK?NR01*","https://www.nkkswitches.com/pdf/NR01%20Rotaries.pdf"
"Switch:SW_SP4T_NR01104","SW_SP4T_NR01104","MyLib_Button_Switch_THT:SW_NKK_NR01","NKK Switches NR01 Series rotary SP4T switch","NR01 SP4T Switch","SW?NKK?NR01*","https://www.nkkswitches.com/pdf/NR01%20Rotaries.pdf"
"Switch:SW_SP5T_NR01105","SW_SP5T_NR01105","MyLib_Button_Switch_THT:SW_NKK_NR01","NKK Switches NR01 Series rotary SP5T switch","NR01 SP5T Switch","SW?NKK?NR01*","https://www.nkkswitches.com/pdf/NR01%20Rotaries.pdf"
"Switch:SW_SPDT","SW_SPDT","","Switch, single pole double throw","switch single-pole double-throw spdt ON-ON","","~"
"Switch:SW_SPDT_312","SW_SPDT_312","","Switch, single pole double throw","changeover single-pole double-throw spdt ON-ON","","~"
"Switch:SW_SPDT_321","SW_SPDT_321","","Switch, single pole double throw","switch single-pole double-throw spdt ON-ON","","~"
"Switch:SW_SPDT_MSM","SW_SPDT_MSM","","Switch, single pole double throw, center OFF position","switch spdt single-pole double-throw ON-OFF-ON","","~"
"Switch:SW_SPDT_XKB_DMx-xxxx-1","SW_SPDT_XKB_DMx-xxxx-1","","Position switch","limit switch single pole double throw spdt microswitch","SW?XKB?DM??16U??1*","~"
"Switch:SW_SPST","SW_SPST","","Single Pole Single Throw (SPST) switch","switch lever","","~"
"Switch:SW_SPST_LED","SW_SPST_LED","","Single Pole Single Throw (SPST) switch with LED, generic","switch SPST LED OFF-ON","","~"
"Switch:SW_SPST_Lamp","SW_SPST_Lamp","","Single Pole Single Throw (SPST) switch with signal lamp, generic","switch SPST LED OFF-ON lamp","","~"
"Switch:SW_SPST_Temperature","SW_SPST_Temperature","","Single Pole Single Throw (SPST) switch, temperature dependent","temperature switch","","~"
"Switch:SW_Slide_DPDT","SW_Slide_DPDT","","Slide Switch, dual pole double throw","switch dual-pole double-throw dpdt ON-ON","","~"
"Switch:SW_Wuerth_450301014042","SW_Wuerth_450301014042","MyLib_Button_Switch_THT:SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm","Switch slide, single pole double throw","changeover single-pole opposite-side-connection double-throw spdt ON-ON","SW*Wuerth*WS*SLTV*10x2.5x6.4*P2.54mm*","https://www.we-online.com/components/products/datasheet/450301014042.pdf"
