"Symbol","Value","Footprint","Description","Tags","Footprint_Filter","Datasheet"
"Filter:Choke_Schaffner_RN102-0.3-02-22M","Choke_Schaffner_RN102-0.3-02-22M","Inductor_THT:Choke_Schaffner_RN102-04-14.0x14.0mm","Common mode choke, 300mA, 300VAC, 22mH, 1.3 ohm, RN-102","common-mode common mode choke powerline power line filter","Choke*Schaffner*RN102*","https://www.schaffner.com/products/download/product/datasheet/rn-series-common-mode-chokes-new/"
"Filter:Choke_Schaffner_RN102-0.6-02-4M4","Choke_Schaffner_RN102-0.6-02-4M4","Inductor_THT:Choke_Schaffner_RN102-04-14.0x14.0mm","Common mode choke, 600mA, 300VAC, 4.4mH, 380mohm, RN-102","common-mode common mode choke powerline power line filter","Choke*Schaffner*RN102*","https://www.schaffner.com/products/download/product/datasheet/rn-series-common-mode-chokes-new/"
"Filter:Choke_Schaffner_RN102-1-02-3M0","Choke_Schaffner_RN102-1-02-3M0","Inductor_THT:Choke_Schaffner_RN102-04-14.0x14.0mm","Common mode choke, 1A, 300VAC, 3mH, 210mohm, RN-102","common-mode common mode choke powerline power line filter","Choke*Schaffner*RN102*","https://www.schaffner.com/products/download/product/datasheet/rn-series-common-mode-chokes-new/"
"Filter:Choke_Schaffner_RN102-1.5-02-1M6","Choke_Schaffner_RN102-1.5-02-1M6","Inductor_THT:Choke_Schaffner_RN102-04-14.0x14.0mm","Common mode choke, 1.5A, 300VAC, 1.6mH, 94mohm, RN-102","common-mode common mode choke powerline power line filter","Choke*Schaffner*RN102*","https://www.schaffner.com/products/download/product/datasheet/rn-series-common-mode-chokes-new/"
"Filter:Choke_Schaffner_RN102-2-02-1M1","Choke_Schaffner_RN102-2-02-1M1","Inductor_THT:Choke_Schaffner_RN102-04-14.0x14.0mm","Common mode choke, 2A, 300VAC, 1.1mH, 70mohm, RN-102","common-mode common mode choke powerline power line filter","Choke*Schaffner*RN102*","https://www.schaffner.com/products/download/product/datasheet/rn-series-common-mode-chokes-new/"
"Filter:Choke_Wurth_WE-CNSW_744232090","Choke_Wurth_WE-CNSW_744232090","Inductor_SMD:L_CommonMode_Wurth_WE-CNSW-1206","Common mode choke, 370 mA, 125VDC, USB2.0, 111 nH","common mode choke emi usb","L*CommonMode*Wurth*WE*CNSW*1206*","https://www.we-online.com/components/products/datasheet/744232090.pdf"
"Filter:FN405-0.5-02","FN405-0.5-02","Filter:Filter_Schaffner_FN405","0.5A, 250VAC, 50/60Hz line filter","EMI","Filter*Schaffner*FN405*","https://www.schaffner.com/de/produkte/download/product/datasheet/fn-405-pcb-mounting-filter/"
"Filter:FN405-1-02","FN405-1-02","Filter:Filter_Schaffner_FN405","1A, 250VAC, 50/60Hz line filter","EMI","Filter*Schaffner*FN405*","https://www.schaffner.com/de/produkte/download/product/datasheet/fn-405-pcb-mounting-filter/"
"Filter:FN405-10-02","FN405-10-02","Filter:Filter_Schaffner_FN405","10A, 250VAC, 50/60Hz line filter","EMI","Filter*Schaffner*FN405*","https://www.schaffner.com/de/produkte/download/product/datasheet/fn-405-pcb-mounting-filter/"
"Filter:FN405-3-02","FN405-3-02","Filter:Filter_Schaffner_FN405","3A, 250VAC, 50/60Hz line filter","EMI","Filter*Schaffner*FN405*","https://www.schaffner.com/de/produkte/download/product/datasheet/fn-405-pcb-mounting-filter/"
