"Symbol","Value","Footprint","Description","Tags","Footprint_Filter","Datasheet"
"Oscillator:OCXO-14","OCXO-14","Oscillator:Oscillator_DIP-14","Voltage-Controlled Crystal Clock Oscillator, DIP14-style metal package","Crystal Clock Oscillator","Oscillator*DIP*14*","http://www.petermann-technik.de/fileadmin/petermann/pdf/crystal-oscillators/OCXO-14_PETERMANN-TECHNIK.pdf"
"Oscillator:OH300","OH300","Oscillator:Oscillator_SMD_OCXO_ConnorWinfield_OH300","100MHz Sinewave output OCXO, low phase-noise, high stability, Connor-Winfield OH300","OCXO","Oscillator*SMD*OH300*","http://www.conwin.com/datasheets/cx/cx282.pdf"
"Oscillator:SG-210SCD","SG-210SCD","Oscillator:Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm","Crystal Oscillator Low Profile / High Stability SPXO","Crystal Clock Oscillator","Oscillator*SMD*SeikoEpson*SG210*2.5x2.0mm*","https://support.epson.biz/td/api/doc_check.php?mode=dl&lang=en&Parts=SG-210SED"
"Oscillator:SG-210SDD","SG-210SDD","Oscillator:Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm","Crystal Oscillator Low Profile / High Stability SPXO","Crystal Clock Oscillator","Oscillator*SMD*SeikoEpson*SG210*2.5x2.0mm*","https://support.epson.biz/td/api/doc_check.php?mode=dl&lang=en&Parts=SG-210SED"
"Oscillator:SG-210SED","SG-210SED","Oscillator:Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm","Crystal Oscillator Low Profile / High Stability SPXO","Crystal Clock Oscillator","Oscillator*SMD*SeikoEpson*SG210*2.5x2.0mm*","https://support.epson.biz/td/api/doc_check.php?mode=dl&lang=en&Parts=SG-210SED"
"Oscillator:SG-210STF","SG-210STF","Oscillator:Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm","CMOS Crystal Oscillator SPXO","Crystal Clock Oscillator","Oscillator*SMD*SeikoEpson*SG210*2.5x2.0mm*","https://support.epson.biz/td/api/doc_check.php?mode=dl&lang=en&Parts=SG-210STF"
"Oscillator:SG-211","SG-211","Oscillator:Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm","CMOS Crystal Oscillator SPXO","Crystal Clock Oscillator","Oscillator*SMD*SeikoEpson*SG210*2.5x2.0mm*","https://support.epson.biz/td/api/doc_check.php?mode=dl&lang=en&Parts=SG-211SEE"
"Oscillator:SG-3030CM","SG-3030CM","Oscillator:Oscillator_SMD_SeikoEpson_SG3030CM","32.768kHz Crystal Oscillator (SPXO)","Crystal Clock Oscillator","Oscillator*SMD*SeikoEpson*SG3030CM*","https://support.epson.biz/td/api/doc_check.php?mode=dl&lang=en&Parts=SG-3030CM"
"Oscillator:SG-5032CAN","SG-5032CAN","Oscillator:Oscillator_SMD_SeikoEpson_SG8002LB-4Pin_5.0x3.2mm","CMOS Clock Oscillator 1 to 75 MHz","Crystal Clock Oscillator","Oscillator*SMD*SeikoEpson*SG8002LB*5.0x3.2mm*","https://support.epson.biz/td/api/doc_check.php?dl=brief_SG5032CAN&lang=en"
"Oscillator:SG-5032CBN","SG-5032CBN","Oscillator:Oscillator_SMD_SeikoEpson_SG8002LB-4Pin_5.0x3.2mm","CMOS Clock Oscillator 80 to 170 MHz","Crystal Clock Oscillator","Oscillator*SMD*SeikoEpson*SG8002LB*5.0x3.2mm*","https://support.epson.biz/td/api/doc_check.php?dl=brief_SG5032CBN&lang=en"
"Oscillator:SG-5032CCN","SG-5032CCN","Oscillator:Oscillator_SMD_SeikoEpson_SG8002LB-4Pin_5.0x3.2mm","CMOS Clock Oscillator 2.5 to 50 MHz","Crystal Clock Oscillator","Oscillator*SMD*SeikoEpson*SG8002LB*5.0x3.2mm*","https://support.epson.biz/td/api/doc_check.php?dl=brief_SG5032CCN&lang=en"
"Oscillator:SG-51","SG-51","Oscillator:Oscillator_SeikoEpson_SG-8002DB","CMOS Crystal Clock Oscillator, DIP14-style plastic package","Crystal Clock Oscillator","Oscillator*SeikoEpson*SG?8002DB*","https://support.epson.biz/td/api/doc_check.php?mode=dl&lang=en&Parts=SG-51P"
"Oscillator:SG-531","SG-531","Oscillator:Oscillator_SeikoEpson_SG-8002DC","CMOS Crystal Clock Oscillator, DIP8-style plastic package","Crystal Clock Oscillator","Oscillator*SeikoEpson*SG?8002DC*","https://support.epson.biz/td/api/doc_check.php?mode=dl&lang=en&Parts=SG-51P"
"Oscillator:SG-615","SG-615","Oscillator:Oscillator_SMD_SeikoEpson_SG8002JA-4Pin_14.0x8.7mm","CMOS Clock Oscillator","Crystal Clock Oscillator","Oscillator*SMD*SeikoEpson*SG8002JA*14.0x8.7mm*","https://support.epson.biz/td/api/doc_check.php?mode=dl&lang=en&Parts=SG-51P"
"Oscillator:SG-7050CAN","SG-7050CAN","Oscillator:Oscillator_SMD_SeikoEpson_SG8002CA-4Pin_7.0x5.0mm","CMOS Clock Oscillator 1 to 75 MHz","Crystal Clock Oscillator","Oscillator*SMD*SeikoEpson*SG8002CA*7.0x5.0mm*","https://support.epson.biz/td/api/doc_check.php?dl=brief_SG7050CAN&lang=en"
"Oscillator:SG-7050CBN","SG-7050CBN","Oscillator:Oscillator_SMD_SeikoEpson_SG8002CA-4Pin_7.0x5.0mm","CMOS Clock Oscillator 80 to 170 MHz","Crystal Clock Oscillator","Oscillator*SMD*SeikoEpson*SG8002CA*7.0x5.0mm*","https://support.epson.biz/td/api/doc_check.php?dl=brief_SG7050CBN&lang=en"
"Oscillator:SG-7050CCN","SG-7050CCN","Oscillator:Oscillator_SMD_SeikoEpson_SG8002CA-4Pin_7.0x5.0mm","CMOS Clock Oscillator 2.5 to 50 MHz","Crystal Clock Oscillator","Oscillator*SMD*SeikoEpson*SG8002CA*7.0x5.0mm*","https://support.epson.biz/td/api/doc_check.php?dl=brief_SG7050CAN&lang=en"
"Oscillator:SG-8002CA","SG-8002CA","Oscillator:Oscillator_SMD_SeikoEpson_SG8002CA-4Pin_7.0x5.0mm","CMOS Clock Oscillator 1 to 125 MHz","Crystal Clock Oscillator","Oscillator*SMD*SeikoEpson*SG8002CA*7.0x5.0mm*","https://support.epson.biz/td/api/doc_check.php?mode=dl&lang=en&Parts=SG-8002DC"
"Oscillator:SG-8002CE","SG-8002CE","Oscillator:Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm","CMOS Clock Oscillator","Crystal Clock Oscillator","Oscillator*SMD*SeikoEpson*SG8002CE*3.2x2.5mm*","https://support.epson.biz/td/api/doc_check.php?mode=dl&lang=en&Parts=SG-8002DC"
"Oscillator:SG-8002DB","SG-8002DB","Oscillator:Oscillator_SeikoEpson_SG-8002DB","Crystal Clock Oscillator, DIP14-style plastic package","Crystal Clock Oscillator","Oscillator*SeikoEpson*SG?8002DB*","https://support.epson.biz/td/api/doc_check.php?dl=brief_SG-8002DB&lang=en"
"Oscillator:SG-8002DC","SG-8002DC","Oscillator:Oscillator_SeikoEpson_SG-8002DC","Crystal Clock Oscillator, DIP8-style plastic package","Crystal Clock Oscillator","Oscillator*SeikoEpson*SG?8002DC*","https://support.epson.biz/td/api/doc_check.php?mode=dl&lang=en&Parts=SG-8002DC"
