"Database_Symbol","Value","Footprint","Description","Tags","Footprint_Filter","Datasheet"
"Relay:Relay_DPST_Latching_2coil","Relay_DPST_Latching_2coil","","Relay DPST, bistable, double-coil, EN50005","2P2T double dual pole throw latching","Relay?DPDT*","~"
"Relay:Relay_SPDT","Relay_SPDT","","Relay SPDT, monostable, EN50005","1P2T 1-Form-C single pole throw","Relay?SPDT*","~"
"Relay:Relay_SPDT_Latching_1coil","Relay_SPDT_Latching_1coil","","Relay SPDT, bistable, double-coil, EN50005","1P2T 1-Form-C single pole throw latching","Relay?SPDT*","~"
"Relay:Relay_SPDT_Latching_2coil","Relay_SPDT_Latching_2coil","","Relay SPDT, bistable, double-coil, EN50005","1P2T 1-Form-C single pole throw latching","Relay?SPDT*","~"
"Relay:Relay_SPST-NC","Relay_SPST-NC","","Relay SPST, normally closed, EN50005","1P1T 1-Form-B single pole throw NC","Relay?SPST*","~"
"Relay:Relay_SPST-NO","Relay_SPST-NO","","Relay SPST, normally open, EN50005","1P1T 1-Form-A single pole throw NO","Relay?SPST*","~"
"Relay:Relay_SPST_Latching_1coil","Relay_SPST_Latching_1coil","","Relay SPST, bistable, single-coil, EN50005","1P1T single pole throw latching","Relay?SPST*","~"
"Relay:Relay_SPST_Latching_2coil","Relay_SPST_Latching_2coil","","Relay SPST, bistable, double-coil, EN50005","1P1T single pole throw latching","Relay?SPST*","~"
"Relay:SANYOU_SRD_Form_A","SANYOU_SRD_Form_A","Relay_THT:Relay_SPST_SANYOU_SRD_Series_Form_A","Sanyo SRD relay, Single Pole Miniature Power Relay, Closing Contact","Single Pole Relay SPST","Relay*SPST*SANYOU*SRD*Series*Form*A*","http://www.sanyourelay.ca/public/products/pdf/SRD.pdf"
"Relay:SANYOU_SRD_Form_B","SANYOU_SRD_Form_B","Relay_THT:Relay_SPST_SANYOU_SRD_Series_Form_B","Sanyo SRD relay, Single Pole Miniature Power Relay, Opening Contact","Single Pole Relay SPST","Relay*SPST*SANYOU*SRD*Series*Form*B*","http://www.sanyourelay.ca/public/products/pdf/SRD.pdf"
"Relay:SANYOU_SRD_Form_C","SANYOU_SRD_Form_C","Relay_THT:Relay_SPDT_SANYOU_SRD_Series_Form_C","Sanyo SRD relay, Single Pole Miniature Power Relay,","Single Pole Relay SPDT","Relay*SPDT*SANYOU*SRD*Series*Form*C*","http://www.sanyourelay.ca/public/products/pdf/SRD.pdf"
"Relay:SILxx-1Axx-71x","SILxx-1Axx-71x","Relay_THT:Relay_SPST_StandexMeder_SIL_Form1A","Standex Meder SIL reed relay, SPST, Closing Contact","Single Pole Reed Relay SPST","Relay*SPST*StandexMeder*SIL*Form1A*","https://standexelectronics.com/wp-content/uploads/datasheet_reed_relay_SIL.pdf"
"Relay:SILxx-1Bxx-71x","SILxx-1Bxx-71x","Relay_THT:Relay_SPST_StandexMeder_SIL_Form1B","Standex Meder SIL reed relay, SPST, Opening Contact","Single Pole Reed Relay SPST","Relay*SPST*StandexMeder*SIL*Form1B*","https://standexelectronics.com/wp-content/uploads/datasheet_reed_relay_SIL.pdf"
