Symbol,Value,Footprint,Description,Tags,Footprint_Filter,Datasheet
MyLib_Transistor:Q_NPN_Darlington_BCEC,Q_NPN_Darlington_BCEC,,"NPN Darlington transistor, base/collector/emitter, collector connected to mounting plane",BJT,,~
MyLib_Transistor:Q_NPN_Darlington_BEC,Q_NPN_Darlington_BEC,,"NPN Darlington transistor, base/emitter/collector",BJT,,~
MyLib_Transistor:Q_NPN_Darlington_CBE,Q_NPN_Darlington_CBE,,"NPN Darlington transistor, collector/base/emitter",BJT,,~
MyLib_Transistor:Q_NPN_Darlington_CEB,Q_NPN_Darlington_CEB,,"NPN Darlington transistor, collector/emitter/base",BJT,,~
MyLib_Transistor:Q_NPN_Darlington_EBC,Q_NPN_Darlington_EBC,,"NPN Darlington transistor, emitter/base/collector",BJT,,~
MyLib_Transistor:Q_NPN_Darlington_ECB,Q_NPN_Darlington_ECB,,"NPN Darlington transistor, emitter/collector/base",BJT,,~
MyLib_Transistor:Q_NPN_Darlington_ECBC,Q_NPN_Darlington_ECBC,,"NPN Darlington transistor, emitter/collector/base, collector connected to mounting plane",BJT,,~
MyLib_Transistor:Q_NPN_EBC,Q_NPN_EBC,,"NPN transistor, emitter/base/collector",BJT,,~
MyLib_Transistor:Q_NPN_ECB,Q_NPN_ECB,,"NPN transistor, emitter/collector/base",BJT,,~
MyLib_Transistor:Q_NPN_ECBC,Q_NPN_ECBC,,"NPN transistor, emitter/collector/base, collector connected to mounting plane",BJT,,~
MyLib_Transistor:Q_NUJT_BEB,Q_NUJT_BEB,,N-Type unijunction transistor,transistor UJT,,~
MyLib_Transistor:Q_PJFET_DGS,Q_PJFET_DGS,,"P-JFET transistor, drain/gate/source",transistor PJFET P-JFET,,~
MyLib_Transistor:Q_PJFET_DSG,Q_PJFET_DSG,,"P-JFET transistor, drain/source/gate",transistor PJFET P-JFET,,~
MyLib_Transistor:Q_PJFET_GDS,Q_PJFET_GDS,,"P-JFET transistor, gate/drain/source",transistor PJFET P-JFET,,~
MyLib_Transistor:Q_PJFET_GSD,Q_PJFET_GSD,,"P-JFET transistor, gate/source/drain",transistor PJFET P-JFET,,~
MyLib_Transistor:Q_PJFET_SDG,Q_PJFET_SDG,,"P-JFET transistor, source/drain/gate",transistor PJFET P-JFET,,~
MyLib_Transistor:Q_PJFET_SGD,Q_PJFET_SGD,,"P-JFET transistor, source/gate/drain",transistor PJFET P-JFET,,~
MyLib_Transistor:Q_PMOS,Q_PMOS,,P-MOSFET transistor,PMOS P-MOS,,~
MyLib_Transistor:Q_PMOS_DGS,Q_PMOS_DGS,,"P-MOSFET transistor, drain/gate/source",transistor PMOS P-MOS P-MOSFET,,~
MyLib_Transistor:Q_PMOS_DSG,Q_PMOS_DSG,,"P-MOSFET transistor, drain/source/gate",transistor PMOS P-MOS P-MOSFET,,~
MyLib_Transistor:Q_PMOS_Depletion,Q_PMOS_Depletion,,Depletion-mode P-channel MOSFET,PMOS,,~
MyLib_Transistor:Q_PMOS_GDS,Q_PMOS_GDS,,"P-MOSFET transistor, gate/drain/source",transistor PMOS P-MOS P-MOSFET,,~
MyLib_Transistor:Q_PMOS_GDSD,Q_PMOS_GDSD,,"P-MOSFET transistor, gate/drain/source, drain connected to mounting plane",transistor PMOS P-MOS P-MOSFET,,~
MyLib_Transistor:Q_PMOS_GSD,Q_PMOS_GSD,,"P-MOSFET transistor, gate/source/drain",transistor PMOS P-MOS P-MOSFET,,~
MyLib_Transistor:Q_PMOS_SDG,Q_PMOS_SDG,,"P-MOSFET transistor, source/drain/gate",transistor PMOS P-MOS P-MOSFET,,~
MyLib_Transistor:Q_PMOS_SDGD,Q_PMOS_SDGD,,"P-MOSFET transistor, source/drain/gate, drain connected to mounting plane",transistor PMOS P-MOS P-MOSFET,,~
