KeyId,MyPN,Name,Description,Symbol,Category,Subcategory,Family,Value,Value2,Inductance,Tolerance,DC_Resistance,Rated_Current,Rated_Voltage,Saturation_Current,Self_Resonant_Frequency,Quality_Factor_Q,Lead_Spacing,Core_Shape,Test_Frequency,Type,Core_Material,Shielding,Winding_Type,Package,Footprint,Footprint_Filter,Dimensions,Length,Width,Height,Weight,Termination,Terminal_Type,Mount,Min_Temp,Max_Temp,Operating_Temp,Temp_Rise,Reflow_Profile,MSL_Rating,Application,Datasheet,RoHS_Compliant,REACH_Compliant,Halogen_Free,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Tape_Width,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Exclude_from_BOM,Exclude_from_Board
,EL-IND-041105,IND_CMCHOKE_35mH_4A_0R080_380V_THT,Common Mode Choke 35mH 4A 380VAC THT (Pulse),MyLib_Inductor:L,Inductors,,Common_Mode,35mH,,35mH,±20%,0.080Ω,4A,380VAC,,,,10.0mm,,,,Ferrite,Shielded,,PH9455,,,21.0x19.0x16.0mm,21.0mm,19.0mm,16.0mm,,Through-Hole,,THT,,,-40°C to +125°C,,,,"Power Line Filtering, EMI Suppression",,1,,,Pulse Electronics,PH9455x356NL,PH9455,,,,,,,,,,,,,,,piece,,,,USD,,,,1,,"Common_Mode,High_Current,THT,Power",,2026-02-01 04:07:52,,,0,0
,EL-IND-041106,IND_CMCHOKE_4.5mH_12A_0R0085_380V_THT,Common Mode Choke 4.5mH 12A 380VAC THT (Pulse),MyLib_Inductor:L,Inductors,,Common_Mode,4.5mH,,4.5mH,±20%,0.0085Ω,12A,380VAC,,,,10.0mm,,,,Ferrite,Shielded,,PH9455,,,21.0x19.0x16.0mm,21.0mm,19.0mm,16.0mm,,Through-Hole,,THT,,,-40°C to +125°C,,,,"Power Line Filtering, EMI Suppression",,1,,,Pulse Electronics,PH9455x405NL,PH9455,,,,,,,,,,,,,,,piece,,,,USD,,,,1,,"Common_Mode,High_Current,THT,Power",,2026-02-01 04:07:52,,,0,0
,EL-IND-041107,IND_CMCHOKE_6.5mH_9A_0R014_380V_THT,Common Mode Choke 6.5mH 9A 380VAC THT (Pulse),MyLib_Inductor:L,Inductors,,Common_Mode,6.5mH,,6.5mH,±20%,0.014Ω,9A,380VAC,,,,10.0mm,,,,Ferrite,Shielded,,PH9455,,,21.0x19.0x16.0mm,21.0mm,19.0mm,16.0mm,,Through-Hole,,THT,,,-40°C to +125°C,,,,"Power Line Filtering, EMI Suppression",,1,,,Pulse Electronics,PH9455x705NL,PH9455,,,,,,,,,,,,,,,piece,,,,USD,,,,1,,"Common_Mode,High_Current,THT,Power",,2026-02-01 04:07:52,,,0,0
,EL-IND-041108,IND_CMCHOKE_82mH_3A_0R150_380V_THT,Common Mode Choke 82mH 3A 380VAC THT (Pulse),MyLib_Inductor:L,Inductors,,Common_Mode,82mH,,82mH,±20%,0.150Ω,3A,380VAC,,,,10.0mm,,,,Ferrite,Shielded,,PH9455,,,21.0x19.0x16.0mm,21.0mm,19.0mm,16.0mm,,Through-Hole,,THT,,,-40°C to +125°C,,,,"Power Line Filtering, EMI Suppression",,1,,,Pulse Electronics,PH9455x826NL,PH9455,,,,,,,,,,,,,,,piece,,,,USD,,,,1,,"Common_Mode,High_Current,THT,Power",,2026-02-01 04:07:52,,,0,0
,EL-IND-041201,IND_CMCHOKE_12mH_0.3A_11R_300V_THT,Common Mode Choke 12mH 300mA 300VAC THT (Schaffner),MyLib_Inductor:L,Inductors,,Common_Mode,12mH,,12mH,±20%,11Ω,0.3A,300VAC,,,,7.5mm,,,,Ferrite,Shielded,,RN102,,,18.0x14.0x13.0mm,18.0mm,14.0mm,13.0mm,,Through-Hole,,THT,,,-40°C to +85°C,,,,"Power Line Filtering, EMI Suppression",,1,,,Schaffner,RN102-0.3-02-12M,RN102,,,,,,,,,,,,,,,piece,,,,USD,,,,1,,"Common_Mode,THT,Power_Filter",,2026-02-01 04:07:52,,,0,0
,EL-IND-041202,IND_CMCHOKE_22mH_0.3A_13R_300V_THT,Common Mode Choke 22mH 300mA 300VAC THT (Schaffner),MyLib_Inductor:L,Inductors,,Common_Mode,22mH,,22mH,±20%,13Ω,0.3A,300VAC,,,,7.5mm,,,,Ferrite,Shielded,,RN102,,,18.0x14.0x13.0mm,18.0mm,14.0mm,13.0mm,,Through-Hole,,THT,,,-40°C to +85°C,,,,"Power Line Filtering, EMI Suppression",,1,,,Schaffner,RN102-0.3-02-22M,RN102,,,,,,,,,,,,,,,piece,,,,USD,,,,1,,"Common_Mode,THT,Power_Filter",,2026-02-01 04:07:52,,,0,0
,EL-IND-041203,IND_CMCHOKE_4.4mH_0.6A_0R380_300V_THT,Common Mode Choke 4.4mH 600mA 300VAC THT (Schaffner),MyLib_Inductor:L,Inductors,,Common_Mode,4.4mH,,4.4mH,±20%,0.380Ω,0.6A,300VAC,,,,7.5mm,,,,Ferrite,Shielded,,RN102,,,18.0x14.0x13.0mm,18.0mm,14.0mm,13.0mm,,Through-Hole,,THT,,,-40°C to +85°C,,,,"Power Line Filtering, EMI Suppression",,1,,,Schaffner,RN102-0.6-02-4M4,RN102,,,,,,,,,,,,,,,piece,,,,USD,,,,1,,"Common_Mode,THT,Power_Filter",,2026-02-01 04:07:52,,,0,0
,EL-IND-041204,IND_CMCHOKE_3mH_1A_0R210_300V_THT,Common Mode Choke 3mH 1A 300VAC THT (Schaffner),MyLib_Inductor:L,Inductors,,Common_Mode,3mH,,3mH,±20%,0.210Ω,1A,300VAC,,,,7.5mm,,,,Ferrite,Shielded,,RN102,,,18.0x14.0x13.0mm,18.0mm,14.0mm,13.0mm,,Through-Hole,,THT,,,-40°C to +85°C,,,,"Power Line Filtering, EMI Suppression",,1,,,Schaffner,RN102-1-02-3MO,RN102,,,,,,,,,,,,,,,piece,,,,USD,,,,1,,"Common_Mode,THT,Power_Filter",,2026-02-01 04:07:52,,,0,0
,EL-IND-041205,IND_CMCHOKE_1.6mH_1.5A_0R094_300V_THT,Common Mode Choke 1.6mH 1.5A 300VAC THT (Schaffner),MyLib_Inductor:L,Inductors,,Common_Mode,1.6mH,,1.6mH,±20%,0.094Ω,1.5A,300VAC,,,,7.5mm,,,,Ferrite,Shielded,,RN102,,,18.0x14.0x13.0mm,18.0mm,14.0mm,13.0mm,,Through-Hole,,THT,,,-40°C to +85°C,,,,"Power Line Filtering, EMI Suppression",,1,,,Schaffner,RN102-1.5-02-1M6,RN102,,,,,,,,,,,,,,,piece,,,,USD,,,,1,,"Common_Mode,THT,Power_Filter",,2026-02-01 04:07:52,,,0,0
,EL-IND-041206,IND_CMCHOKE_1.1mH_2A_0R070_300V_THT,Common Mode Choke 1.1mH 2A 300VAC THT (Schaffner),MyLib_Inductor:L,Inductors,,Common_Mode,1.1mH,,1.1mH,±20%,0.070Ω,2A,300VAC,,,,7.5mm,,,,Ferrite,Shielded,,RN102,MyLib_Inductor_SMD:L_1206,L_1206*,18.0x14.0x13.0mm,18.0mm,14.0mm,13.0mm,,Through-Hole,,THT,,,-40°C to +85°C,,,,"Power Line Filtering, EMI Suppression",,1,,,Schaffner,RN102-2-02-1M1,RN102,,,,,,,,,,,,,,,piece,,,,USD,,,,1,,"Common_Mode,THT,Power_Filter",,2026-02-01 04:07:52,,,0,0
