Symbol,Value,Footprint,Description,Tags,Footprint_Filter,Datasheet
Transistor_FET:BUK7M67-60EX,BUK7M67-60EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"14A Id, 60V Vds, N-Channel TrenchMOS MOSFET, 67mOhm Ron, 6.7nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK7M67-60E.pdf
Transistor_FET:BUK7M6R3-40EX,BUK7M6R3-40EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"70A Id, 40V Vds, N-Channel TrenchMOS MOSFET, 6.3mOhm Ron, 28.1nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK7M6R3-40E.pdf
Transistor_FET:BUK7M8R0-40EX,BUK7M8R0-40EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"69A Id, 40V Vds, N-Channel TrenchMOS MOSFET, 8mOhm Ron, 23.8nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK7M8R0-40E.pdf
Transistor_FET:BUK7M9R9-60EX,BUK7M9R9-60EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"60A Id, 60V Vds, N-Channel TrenchMOS MOSFET, 9.9mOhm Ron, 30.1nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK7M9R9-60E.pdf
Transistor_FET:BUK9832-55A,BUK9832-55A,MyLib_Package_TO_SOT_SMD:SOT-223-3_TabPin2,"12A Id, 55V Vds, RdsOn 25mOhm, N-Channel Enhancement Mode MOSFET, SOT-223",n-channel n channel mosfet enhancement mode,SOT?223*,https://assets.nexperia.com/documents/data-sheet/BUK9832-55A.pdf
Transistor_FET:BUK9M10-30EX,BUK9M10-30EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"54A Id, 30V Vds, N-Channel TrenchMOS MOSFET, 7.8mOhm Ron, 12.2nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK9M10-30E.pdf
Transistor_FET:BUK9M11-40EX,BUK9M11-40EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"53A Id, 40V Vds, N-Channel TrenchMOS MOSFET, 9mOhm Ron, 13.4nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK9M11-40E.pdf
Transistor_FET:BUK9M12-60EX,BUK9M12-60EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"54A Id, 60V Vds, N-Channel TrenchMOS MOSFET, 11mOhm Ron, - Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK9M12-60E.pdf
Transistor_FET:BUK9M120-100EX,BUK9M120-100EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"11.5A Id, 100V Vds, N-Channel TrenchMOS MOSFET, 119mOhm Ron, 8.8nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK9M120-100E.pdf
Transistor_FET:BUK9M14-40EX,BUK9M14-40EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"44A Id, 40V Vds, N-Channel TrenchMOS MOSFET, 11mOhm Ron, 11.3nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK9M14-40E.pdf
Transistor_FET:BUK9M15-60EX,BUK9M15-60EX,MyLib_Package_TO_SOT_SMD:LFPAK33,"47A Id, 60V Vds, N-Channel TrenchMOS MOSFET, 13mOhm Ron, 17nC Qqd, -55 to 175 °C, LFPAK33",Power MOSFET N-MOS,LFPAK33*,https://assets.nexperia.com/documents/data-sheet/BUK9M15-60E.pdf
